instance,cost_llm,gap_pct_llm,cost_mock,gap_pct_mock,delta_cost,rel_gap_pct_llm,rel_gap_pct_mock
B-n56-k7,822.0,,1116.0,,294.0,0.0,35.76642335766424
P-n101-k4,823.0,,964.0,,141.0,0.0,17.132442284325638
A-n63-k10,1705.0,,1806.0,,101.0,0.0,5.92375366568915
P-n60-k10,911.0,,999.0,,88.0,0.0,9.659714599341383
A-n33-k5,829.0,,874.0,,45.0,0.0,5.42822677925211
A-n64-k9,1840.0,,1881.0,,41.0,0.0,2.2282608695652173
E-n101-k8,1091.0,,1126.0,,35.0,0.0,3.2080659945004584
A-n38-k5,885.0,,912.0,,27.0,0.0,3.050847457627119
B-n31-k5,863.0,,887.0,,24.0,0.0,2.7809965237543453
M-n200-k17,1847.0,,1847.0,,0.0,0.0,0.0
A-n62-k8,1540.0,,1540.0,,0.0,0.0,0.0
P-n23-k8,613.0,,613.0,,0.0,0.0,0.0
M-n200-k16,1847.0,,1847.0,,0.0,0.0,0.0
E-n101-k14,1442.0,,1436.0,,-6.0,0.4178272980501393,0.0
B-n35-k5,1140.0,,1090.0,,-50.0,4.587155963302752,0.0
